Protein1,Protein2,PartialCor
MAPKPT202Y204,MEK1PS217S221,0.30856
MAPKPT202Y204,P38PT180Y182,0.09879
MAPKPT202Y204,P90RSKPT359S363,0.03167
MAPKPT202Y204,S6PS235S236,0.03409
MAPKPT202Y204,SRCPY527,0.13365
MAPKPT202Y204,YAPPS127,0.01672
MAPKPT202Y204,YB1PS102,0.20433
MAPKPT202Y204,JNKPT183Y185,0.11822
MAPKPT202Y204,MTORPS2448,0.0041
MEK1PS217S221,P38PT180Y182,0.14376
MEK1PS217S221,P90RSKPT359S363,0.07022
MEK1PS217S221,YB1PS102,0.03297
MIG6,RAD51,0.09456
MIG6,STATHMIN,0.00282
MIG6,YB1,0.00235
MIG6,PAI1,0.09033
MIG6,EGFR,0.09658
MRE11,P27PT157,0.05786
MRE11,RAD51,0.02963
MRE11,STATHMIN,0.19984
MTOR,PI3KP110ALPHA,0.01333
MTOR,SYK,0.02399
MTOR,TUBERIN,0.09632
NCADHERIN,SMAD4,0.00162
NFKBP65PS536,RBPS807S811,0.01051
NOTCH1,SRC,0.05348
NOTCH1,STATHMIN,0.01401
NOTCH1,EGFR,0.03116
P27PT157,PKCDELTAPS664,0.03208
P27PT157,RAD51,0.01714
P38PT180Y182,P90RSKPT359S363,0.01966
P38PT180Y182,SRCPY527,0.08659
P38PT180Y182,YAPPS127,0.00855
P38PT180Y182,YB1PS102,0.14317
P38PT180Y182,JNKPT183Y185,0.0997
P38PT180Y182,MTORPS2448,0.01312
P70S6KPT389,S6PS235S236,0.05291
P70S6KPT389,S6PS240S244,0.00375
P70S6KPT389,JNKPT183Y185,0.00409
P90RSKPT359S363,PRAS40PT246,0.13837
P90RSKPT359S363,RBPS807S811,0.0732
P90RSKPT359S363,YB1PS102,0.12629
P90RSKPT359S363,MTORPS2448,0.08801
PAXILLIN,TUBERIN,0.00071
PAXILLIN,YB1,0.04429
PCNA,RAD51,0.11352
PCNA,XRCC1,0.04675
PKCALPHA,PKCALPHAPS657,0.49112
PKCALPHA,YB1,0.016
PRAS40PT246,SRCPY416,0.08922
PRAS40PT246,YB1PS102,0.01959
RAD51,STATHMIN,0.12698
S6PS235S236,S6PS240S244,0.55406
S6PS235S236,YB1PS102,0.12361
S6PS235S236,JNKPT183Y185,0.02904
S6PS240S244,MTORPS2448,0.00874
SMAD1,SYK,0.02241
SMAD3,SMAD4,0.10972
SMAD3,SRC,0.01862
SMAD4,XRCC1,0.05416
SMAD4,YAP,0.02663
SRCPY416,SRCPY527,0.12902
SRCPY527,JNKPT183Y185,0.00014
STAT5ALPHA,TUBERIN,0.13126
YAP,YAPPS127,0.3133
YB1PS102,JNKPT183Y185,0.01721
